sample,latitude,longitude,dist_coast,dist_ocean,elevation
T600-1_S165,-77.61942,163.58435,2458.467959,2458.467959,555.0703125
T600-2_S77,-77.61942,163.58435,2458.467959,2458.467959,555.0703125
T600-3_S167,-77.61942,163.58435,2458.467959,2458.467959,555.0703125
T600-4_S168,-77.61942,163.58435,2458.467959,2458.467959,555.0703125
T650-1_S169,-77.62128,163.58542,2498.323407,2498.323407,600.921875
T650-2_S78,-77.62128,163.58542,2498.323407,2498.323407,600.921875
T650-3_S171,-77.62128,163.58542,2498.323407,2498.323407,600.921875
T650-4_S172,-77.62128,163.58542,2498.323407,2498.323407,600.921875
T684-1_S173,-77.62308,163.58818,2515.372666,2515.372666,625.28125
T684-2_S79,-77.62308,163.58818,2515.372666,2515.372666,625.28125
T684-3_S175,-77.62308,163.58818,2515.372666,2515.372666,625.28125
T684-4_S176,-77.62308,163.58818,2515.372666,2515.372666,625.28125
SRR12095364,-76.39280323,161.056,32839.40802,43053.23135,1005.078125
SRR12095365,-76.57130317,161.243,30795.34503,35405.29152,1020.34375
SRR12095366,-76.58030313,161.097,34185.77112,38999.79209,1017.71875
SRR12095367,-76.09650411,162.01,8324.545369,8324.545369,242.1015625
SRR12095368,-76.49360377,162.064,13475.64204,17444.08743,832.8203125
SRR12095369,-76.47010326,161.27,33437.93845,37780.67708,1180.320313
SRR12095370,-77.01480303,161.456,22459.68096,22459.68096,591.953125
SRR12095371,-77.01100294,161.426,23045.35535,23045.35535,614.234375
SRR12095372,-77.02760281,161.216,28541.21555,28541.21555,865.4453125
SRR12095373,-77.00380349,162.238,3272.757506,3272.757506,228.546875
SRR12095374,-77.65000347,163.116,8677.254878,8677.254878,152.9765625
SRR12095375,-76.52000338,161.45,27521.61343,31521.61343,1175.046875
SRR12095376,-76.06630421,162.008,8535.585335,9354.287617,314.546875
SRR12095377,-76.43730318,161.007,36417.53228,44914.84205,1049.8125
SRR12095378,-77.01570295,161.405,23691.77472,23691.77472,675.5703125
SRR12095379,-77.01380299,161.428,23086.72689,23086.72689,667.4609375
ERR2919704,-63.906083,-57.840183,1346.424956,1346.424956,100.125
ERR2919705,-63.906083,-57.840183,1346.424956,1346.424956,100.125
