"latitude" "longitude"
"SRR16996415" -74.76804444 164.0160222
"SRR16996416" -72.3166654 170.2666656
"SRR16996417" -72.3166654 170.2666656
"SRR16996418" -72.3166654 170.2666656
"SRR16996419" -72.3166654 170.2666656
"SRR16996420" -62.17972222 -58.91861111
"SRR16996421" -72.3166654 170.2666656
"SRR16996422" -72.3166654 170.2666656
"SRR16996423" -72.3166654 170.2666656
"SRR16996424" -72.3166654 170.2666656
"SRR16996425" -72.3166654 170.2666656
"SRR16996426" -72.3166654 170.2666656
"SRR16996427" -72.3166654 170.2666656
"SRR16996428" -77.213194 166.4456667
"SRR16996429" -77.213194 166.4456667
"SRR16996430" -62.20472222 -59.00083333
"SRR16996431" -62.17055556 -58.94361111
"SRR16996432" -62.20861111 -58.99444444
"SRR16996433" -62.20833333 -58.98388889
"SRR16996434" -62.20944444 -58.98305556
"SRR16996435" -62.21138889 -58.97805556
"SRR16996436" -62.21361111 -58.97166667
"SRR16996437" -62.20472222 -59.00083333
"SRR16996438" -62.20861111 -58.99444444
"SRR16996439" -62.20833333 -58.98388889
"SRR17050018" -62.217893 -58.964096
"SRR17050019" -62.217893 -58.964096
"SRR17050020" -62.218024 -58.966421
"SRR17050021" -64.71588333 -62.87171667
"SRR17050022" -64.895507 -62.870299
"SRR17050023" -64.895507 -62.870299
"SRR17050024" -64.81828333 -63.50921667
"SRR17050025" -64.81828333 -63.50921667
"A_4" -76.89465 161.13915
"A_5" -76.89465 161.13915
"A_6" -76.89465 161.13915
"BA_2" -77.49361667 160.8710306
"BA_5" -77.49361667 160.8710306
"BA_6" -77.49361667 160.8710306
"BR_2" -77.43863333 162.7288028
"BR_3" -77.43863333 162.7288028
"BR_6" -77.43863333 162.7288028
"BSP3" -76.92235 161.0814333
"BSP4" -76.92235 161.0814333
"D_1" -77.54776667 161.2364167
"D_6" -77.54776667 161.2364167
"F_3" -77.60769444 163.2506833
"H_1" -77.51019167 160.5785972
"H_3" -77.51019167 160.5785972
"H_5" -77.51019167 160.5785972
"HG_1" -78.0386 163.8506028
"HG_3" -78.0386 163.8506028
"HG_4" -78.0386 163.8506028
"HM_1" -78.11667222 163.7507917
"HM_4" -78.11667222 163.7507917
"HM_6" -78.11667222 163.7507917
"L2" -77.79723333 160.6154778
"L4" -77.79723333 160.6154778
"L6" -77.79723333 160.6154778
"LG_1" -78.02647778 163.8512083
"LG_2" -78.02647778 163.8512083
"LG_3" -78.02647778 163.8512083
"LM_3" -78.10059722 163.8091194
"LM_5" -78.10059722 163.8091194
"LM_6" -78.10059722 163.8091194
"MF_1" -77.57317222 163.1585972
"MF_3" -77.57317222 163.1585972
"MF_4" -77.57317222 163.1585972
"MS_1" -77.03662778 161.7101194
"MS_2" -77.03662778 161.7101194
"MS_3" -77.03662778 161.7101194
"SU_1" -77.01780833 161.7385694
"SU_3" -77.01780833 161.7385694
"SU_6" -77.01780833 161.7385694
"UVV_3" -77.34212222 161.6870222
"UVV_5" -77.34212222 161.6870222
"UVV_6" -77.34212222 161.6870222
"UW_6" -77.55761389 160.9545806
"1" -70.80936111 68.17722222
"10" -70.83475 68.06480556
"100" -68.60134 78.23598
"101" -68.60134 78.23598
"102" -68.65743333 77.87660833
"103" -67.78251 62.79129
"104" -68.60675 77.94797222
"105" -68.85427 77.93998
"106" -73.38772222 62.04244444
"107" -68.59994 78.28881
"108" -68.59519444 77.95883333
"109" -68.83064 77.70951
"11" -68.81859 77.70846
